hash,vt_score,classification
00027b55ffe7329faff173bc3046f579d176c5a79091bf21f31062e17bfec922.macro,0,0
00125528f276afcb74b5607e38b03edd41efafac58570589ef08b983cfa1231d.macro,14,0
001331fc0a289089ddeaab9ece4b1cf919f4852afe42b6ad64e672e0afccc588.macro,0,0
0014a559b4421bcc8f002e9a8b130f47ca04b7944ba89cf6e80524ed2912474c.macro,16,2
002d9d8f1664df94a985beff2388badaca96ae46bafa92df76eb19d18c154dcd.macro,5,0
002ff9f864c0bb1eb3e6461ee3d57af8024995033f034f213d45328a5eb1e1af.macro,0,0
00341333b02a62ffe060c62647e51315e0635d899298f03982fb97228f903f24.macro,0,0
003a5c0cdaf6a58669b565829fcd0bff56c854bbfb7f2eb1124f5bf2b4732f75.macro,4,0
0057c74305d64943a35b960b65ebc532cf30389414f4b74038a23c765748f33d.macro,0,0
005f090777bec63738e3fe0445254a63bb7053a62a0e21f7cc082ea10e2290d7.macro,1,1
0060646fc53b31c8928ab0ec5ab3c694458b70b0c0cfa788d9802d748bf1b3b6.macro,10,0
006929c323dfc45a0e6be54d5a621b35b82477789cc1b5e8fd64ff8780cdccf5.macro,0,0
006fc7599551e04698187585268771699c7d81eda0cfacb12f21cf0e97497b1f.macro,0,0
00715d8bf4fd51d6e70c4f51d418247839c18309888fc60fa9782e8e65793634.macro,2,0
0074660d854dbbea4e2e4940797f9181eef3675f960a395fe5f02e5566f813ba.macro,0,0
008b0992aea62739e327e2e6292fd2f8c01d252e7797e6de792c3245ac39628b.macro,0,0
008f3246dc2a5aad2dc4cd73db03ebf1a6d7ba7cb959be31407f67571ac9452a.macro,0,0
00913298eec69254b24fa60374c82312b86e068a1387a7931e812d086922190f.macro,0,0
00a4d3128c25225d2d4d8a6621ec2c592961e03e43e5c1e4e97a3d459d23a1ef.macro,0,0
00a9b525449216aa26f819f56c0fce59cf251aad48c67af2b7713d80f2683d70.macro,0,0
00b173f36d82f6ec91a6da5fbad7cc0dd384b80eb486df07059d420b6f488474.macro,41,2
00b44c34ed44665852bd161efc6c8bccef82dcd99118023157b5a5bdc57b2b75.macro,0,0
00b780f1c877edce3ca52be57e825bc484250e599ece0f3ab9d6dd256d11b907.macro,8,0
00b99488de929b9e0cb34c17f235c71b960c6b7c903357314c03416799178f46.macro,9,0
00c501e56751a0c9caf22c70b388c9565fc39a31eb55979e624f9bb14365a3ed.macro,2,0
00c5d095fc7fd3e261f9db6ae96914fa164a490f0c4ebf3f51b888a422e2cc85.macro,0,0
00c72af34d9839379b93bb2081d0604a061876ba0bc0cea0c03b01b3cb0803f5.macro,1,1
00ca148ddd7ecd59adb0a1e1ea3496bbbceed4176fbc1f7b8d3b2d384dfdea65.macro,0,0
00caa445b26dc499f4bf2a6c74bd982df0b5d5c2f8615c84d540322be08c0083.macro,0,0
00d027b89ec310a69d151ff1d806d75f68430223743aab217e9c91539b78c5fd.macro,0,0
00d0d159f627d1e587c73c8f6193ade4e0e9fbf6cd75d8c2cec75e634b479534.macro,0,0
00d7edc9da2f1e336ab30f6c6818150140a26594fa6d5b097f162f09be96faec.macro,0,0
00d8d42bb3555e79fa769a53753d87aa038b7ee930e60e89ec8b10aff8cedbcb.macro,38,2
00deabfc3eae704baf9465d2b263ada2248461f273e16b34adf9c84035941db2.macro,8,0
00e3353845ca0f765122f138810a1e22688c423e5255f7b60b2390ff97ec54a7.macro,9,0
00e84d6e0dabc697f68e4bb2aa7ac1352c886dabfd2ffd3360ac0d2fa19b845f.macro,0,0
00f093a6cbd8c092491524fc32567b3519602a583e626fb90c518c0c46a76d07.macro,0,0
00f37ba9c65e1ae0806f838e4943c79fb71f4bad2234d85bfe0f482906d61f0c.macro,0,0
00f85c605f51949641706ae95f7cfab61eda5b012e6b80b5fd9bcca579420314.macro,16,0
011a752395cfd2f8cebb796b0fad2efb545bb8f4b3bac104c8cd26ca62db265a.macro,37,2
0124d338e7dbb5c03950612a269a6156c87078e79771b6ef9986003e51d4fc91.macro,0,0
0125400714c92c0b386a5b55a33c7e16c7122cac1bc464ca1313e29db94ce1a7.macro,1,0
